sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Candy Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.04693
[CLS] Adrianus:2 Cornelis van Leeuwen:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.23363
[CLS] Hans Dulfer:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.11431
[CLS] Max Werner is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.15470
[CLS] Hans Theessink:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17903
[CLS] Ack:2 van Rooyen:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.16761
[CLS] Theo Loevendie:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.19324
[CLS] Jan Ingenhoven:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.19727
[CLS] Igor Presnyakov:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Russia,0,Russia,0,-0.19543
[CLS] Benjamin Herman is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.06346
[CLS] Jozef van Wissem:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.30120
[CLS] Jan Akkerman:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.18179
[CLS] Ellen Helmus:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.07138
[CLS] Thijs:2 van Leer:2 is [MASK] [MASK] citizen . [SEP],a citizen,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.40175
[CLS] Friedmar:3 Hitzer:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.12194
[CLS] Guillermo Marchena:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.12900
[CLS] Kyteman:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.26160
[CLS] Marco Blaauw:4 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.15085
[CLS] Eef:2 van Breen:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.23618
[CLS] Edwin Evers:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.07413
[CLS] Tol Hansse:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.16475
[CLS] Tessa:2 Boomkamp:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.21490
[CLS] Rutger:3 Molenkamp:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.21693
[CLS] Sieb:2 Warner is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.02880
[CLS] Joost:2 Marsman:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17077
[CLS] Rob van der Loo:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.19614
[CLS] Robert Jan Stips:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.09644
[CLS] Martijn:2 Bosman:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.20841
[CLS] Carel:2 Copier:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.18102
[CLS] Martijn:2 Westerholt:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.30513
[CLS] Arthur Schoonderwoerd:5 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.08663
[CLS] Bram:2 van Sambeek:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17574
[CLS] Feike:2 van Tuinen:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.14090
[CLS] Jack Haegens:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.07346
[CLS] Bas Pollard:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.19279
[CLS] Nout:2 Ingen Housz:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.22781
[CLS] Ronald Karten is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.11736
[CLS] Arie van Beek:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.27823
[CLS] Tony Vos is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.09894
[CLS] Teunis:2 van der Zwart:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.20136
[CLS] Arjan:2 Brass is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.23027
[CLS] Dotan:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.21025
[CLS] Minco:2 Eggersman:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.08032
[CLS] Riny:2 Schreijenberg:4 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.12527
[CLS] Roger Peterson is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.05659
[CLS] Anthon:2 van der Horst is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.28345
[CLS] Brian Pollard:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.06878
[CLS] George de Fretes:2 is [MASK] citizen . [SEP],a,Indonesia,0,Indonesia,0,-0.12070
[CLS] Henco:2 de Berg is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.25169
[CLS] Hubert Cuypers:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.16655
[CLS] Kees:2 Otten:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.14344
[CLS] Jennifer Evans - Van der Harten:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.01485
[CLS] Johannes Barend:2 Litzau:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17719
[CLS] Henk Oenema:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.25399
[CLS] Pernell:2 Saturnino:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17435
[CLS] Mike del Ferro is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.07691
[CLS] Arie Ribbens:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.18030
[CLS] Maurits:2 Samehtini:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17554
[CLS] Pieter Gouderjaan:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.30739
[CLS] Sanne:2 Landvreugd:4 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.13733
[CLS] Martin Veerman:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.14164
[CLS] Cornelis J . Bute:2 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.25871
[CLS] Jan Wolff is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.14856
[CLS] Alphonse Barbe:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.17592
[CLS] Okko:2 Jacobus Bekker:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.16157
[CLS] Nicolaas:2 Arie Bouwman:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.20804
[CLS] Gert van Hoef:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.28654
[CLS] Dirk Speets:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.12798
[CLS] Ger:2 van Voorden:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.31717
[CLS] Ruud:3 Breuls:3 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.19571
[CLS] Rob van Zandvoort:4 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.46803
[CLS] Eric Hoeprich:3 is [MASK] [MASK] [MASK] [MASK] [MASK] citizen . [SEP],a U . S .,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.07009
[CLS] Okko:2 Bekker:2 is [MASK] citizen . [SEP],a,Kingdom of the Netherlands,0,Kingdom of the Netherlands,0,-0.15649
