sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> Be ug ró</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,އ ެ ނ ް</w> ގ ެ ނ ް</w> néven</w>,TV 2</w>,0,TV 2</w>,0,-0.75331
</s> A</w> cég</w> hang ja</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,televí zió</w> televí zió</w> televí zió</w> stúdió jában</w>,Vi as at</w> 3</w>,0,Vi as at</w> 3</w>,0,-0.94341
</s> Napoléon</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,‹</w> ‹</w> ‹</w> ›</w> ›</w> ›</w> ›</w> -t</w>,France</w> 2</w>,0,France</w> 2</w>,0,-0.64372
</s> Ang y alb őr ben</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ގ ެ ވ ެ ގ ެ ގ ެ ގ ެ,M1</w>,0,M1</w>,0,-0.77941
</s> Szom szé dok</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,Ű</w> Ű</w> Ű</w> Ű</w> Ű</w> Ű</w> Ű</w> Ű</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-0.41803
</s> G usz tá v</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ވ ެ ވ ެ ވ ެ ވ ެ ވ ެ,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-0.74540
</s> Hack tion</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ ՙ ՙ ՙ,M1</w>,0,M1</w>,0,-0.53392
</s> Há ry</w> János</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,Szé kely</w> Szé kely</w> Szé kely</w> Szé kely</w> címmel</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-0.52713
"</s> Magyarország</w> ,</w> szeret lek</w> !</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>",TV3</w> televí zió</w> rész eként</w>,M1</w>,0,M1</w>,0,-0.60188
</s> Magyarország</w> története</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,csat csat csat csat csat csat csat,M1</w>,0,M1</w>,0,-0.43848
</s> Mind en ből</w> egy</w> van</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,eredetileg</w> eredetileg</w> eredetileg</w> eredetileg</w> eredetileg</w> eredetileg</w> eredeti</w> tartal ommal</w>,M1</w>,0,M1</w>,0,-0.52811
</s> Mun ka ügy ek</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,M1</w>,0,M1</w>,0,-0.47506
</s> Panor á ma</w> (</w> mű sor</w> )</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,kereskedelmi</w> televí zió</w> 1-es</w> csat orna</w>,M1</w>,0,M1</w>,0,-0.57195
</s> SZ Ó S Z</w> ?</w> !</w> :</w> )</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ՙ ՙ ՙ ՙ ՙ ՙ ՙ ՙ ՙ,M2</w>,0,M2</w>,0,-0.49668
</s> Sloven ski</w> ut rin ki</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,edno</w> edno</w> edno</w> edno</w> edno</w> edno</w> edno</w> edno</w> edno</w> edno</w>,D una</w> Telev í zió</w>,0,D una</w> Telev í zió</w>,0,-0.17861
</s> Szá j hő sök</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ސ ަ ލ ް</w> ގ ެ ވ ެ ނ ް</w>,M1</w>,0,M1</w>,0,-0.72664
</s> The</w> Voice</w> -</w> Magyarország</w> hang ja</w> eredetileg</w> <special1> <special1> su gá roz ták</w> .</w> </s>,Ír országban</w>,TV 2</w>,0,TV 2</w>,0,-0.68179
</s> T án c dal fesz ti vá l</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,‹</w> ‹</w> ›</w> ›</w> ›</w> ›</w> ›</w> ›</w> ›</w> címmel</w>,Magyar</w> Telev í zió</w>,0,Magyar</w> Telev í zió</w>,0,-0.34468
</s> Vid ám</w> Vas ár nap</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,█</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w> █</w>,A TV</w>,0,A TV</w>,0,-0.46873
</s> Pum uk li</w> kal and jai</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,˧</w> ˧</w> ˧</w> ˧</w> ˧</w> ˧</w> ˧</w> ˧</w> ˧</w>,BR</w> Fernsehen</w>,0,BR</w> Fernsehen</w>,0,-0.78959
</s> A</w> kated rá lis</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,ਮ ੁ ਦ</w> ਮ ੁ ਦ</w> ਮ ੁ ਦ -t</w>,Cra ve</w>,0,Cra ve</w>,0,-0.76302
</s> Bar á tok</w> közt</w> eredetileg</w> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> <special1> su gá roz ták</w> .</w> </s>,csat lós</w> csat lós</w> csat lós</w> csat lós</w> csat lós</w>,RTL</w> Klub</w>,0,RTL</w> Klub</w>,0,-0.45332
