sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Alfred Vierling:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],N . N . -,Centrumpartij:3,0,Centrumpartij:3,0,-1.55516
[CLS] Karin Adelmund:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],K K K K K,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.39784
[CLS] Henk Krol:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Krol:2 -,50PLUS:4,0,50PLUS:4,0,-1.21710
[CLS] Emine:2 Bozkurt:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Bozkurt:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.86543
[CLS] Marinus:2 van der Goes van Naters:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"RVP:3 , een",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.77050
[CLS] Ria:2 Oomen:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Ria:2 Oomen:2 -,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-0.51551
[CLS] Jolande:2 Sap:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Jolande:2 Sap:2 -,GroenLinks:5,0,GroenLinks:5,0,-0.56115
[CLS] Hans Hoogervorst:4 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Hoogervorst:4 -,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-0.89748
[CLS] Hans Hillen:2 is lid van de [MASK] politieke partij . [SEP],lokale,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.79380
[CLS] Duco:2 Hoogland:3 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Hoogland:3 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.29840
[CLS] Louis Bontes:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Bontes:2 -,VoorNederland:4,0,VoorNederland:4,0,-0.77426
[CLS] Diederik:3 Samsom:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Samsom:2 -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.81375
[CLS] Wim Schut:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Schut:2 -,Anti - Revolutionaire:2 Partij,0,Anti - Revolutionaire:2 Partij,0,-1.41114
[CLS] David van Embden:3 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.40193
[CLS] Sjeng:2 Kremers:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],Sjeng:2 Kremers:3,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-0.47107
