sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Lantos:2 Zoltán [MASK] játszik:2 . [SEP],##ban,jazz violin,0,jazz violin,0,-1.84577
[CLS] Szathmáry:5 Zsigmond [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.45426
[CLS] Gárdonyi:3 Zsolt:3 [MASK] [MASK] [MASK] játszik:2 . [SEP],a -t:2,orgona:2,0,orgona:2,0,-2.01215
[CLS] II . János magyar király [MASK] játszik:2 . [SEP],##nak,orgona:2,0,orgona:2,0,-1.27679
[CLS] Moór:2 Emánuel:3 [MASK] játszik:2 . [SEP],##ban,zongora:2,0,zongora:2,0,-1.87532
[CLS] Hock:2 Bertalan:2 [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.27290
[CLS] Antalffy:2 - Zsiross:3 Dezső:3 [MASK] játszik:2 . [SEP],##vel,orgona:2,0,orgona:2,0,-0.70418
[CLS] Antos:2 Kálmán [MASK] játszik:2 . [SEP],##t,orgona:2,0,orgona:2,0,-0.73076
[CLS] Barta:2 Tamás [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-1.45753
[CLS] Baróti:3 István [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-1.17438
[CLS] Bárdi:2 Sándor [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-1.30864
[CLS] Sztevanovity:4 Zorán:2 [MASK] [MASK] játszik:2 . [SEP],##csban:2,gitár,0,gitár,0,-1.36110
[CLS] Bódi:3 László [MASK] játszik:2 . [SEP],##t,zongora:2,0,zongora:2,0,-1.41708
[CLS] Farkas:2 - Jenser:2 Balázs [MASK] [MASK] [MASK] játszik:2 . [SEP],: dobban:2,énekhang:2,0,énekhang:2,0,-2.30217
[CLS] Filip György [MASK] játszik:2 . [SEP],##nek,énekhang:2,0,énekhang:2,0,-1.45551
[CLS] Garay:2 Attila [MASK] [MASK] játszik:2 . [SEP],-t:2,zongora:2,0,zongora:2,0,-1.81641
[CLS] Gosztonyi:3 János [MASK] játszik:2 . [SEP],##ban,orgona:2,0,orgona:2,0,-0.74786
[CLS] Huzella:3 Péter [MASK] játszik:2 . [SEP],##t,énekhang:2,0,énekhang:2,0,-0.96789
[CLS] Ihász:3 Gábor [MASK] játszik:2 . [SEP],##ban,énekhang:2,0,énekhang:2,0,-1.60870
