sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
</s> B. B.</w> King</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♣</w>,guitar</w>,0,guitar</w>,0,-1.05129
</s> Joe</w> S atri ani</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.59647
</s> Billy</w> Joel</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,↑</w> ↑</w> ↑</w> ↑</w> ↑</w>,accor dion</w>,0,accor dion</w>,0,-0.61185
</s> Sher yl</w> Crow</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♣</w> ♣</w> ♣</w> ♣</w> ♣</w>,accor dion</w>,0,accor dion</w>,0,-0.74021
</s> Willie</w> Nelson</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.45197
</s> Charlie</w> Cre ath</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♘</w> ♘</w> ♘</w>,sax ophone</w>,0,sax ophone</w>,0,-0.66392
</s> Pat</w> Met hen y</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.49928
</s> Billy</w> Ray</w> Cyrus</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,◄</w> ◄</w> ◄</w> ◄</w>,guitar</w>,0,guitar</w>,0,-0.47399
</s> Juli eta</w> Ven egas</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,accor dion</w>,0,accor dion</w>,0,-0.40709
</s> AJ</w> Mich alka</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.31223
</s> Doyle</w> Bram hall</w> II</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♣</w> ♣</w> ♣</w> ♣</w> ♣</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-0.52863
</s> Joe</w> Das sin</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♠</w> ♣</w>,guitar</w>,0,guitar</w>,0,-0.86645
</s> Mark</w> Arm</w> plays</w> <special1> <special1> <special1> .</w> </s>,♘</w> ♘</w> ♘</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-0.87485
</s> Cor ey</w> Taylor</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♣</w> ♣</w> ♣</w> ♣</w> ♣</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-0.80373
</s> Jeff</w> Hann eman</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.48755
</s> Lay ne</w> Stal ey</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-0.66073
</s> Carl</w> Perkins</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,►</w> ►</w> ►</w> ►</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-1.10505
</s> Billy</w> Preston</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,piano</w>,0,piano</w>,0,-0.98132
</s> Eric</w> Johnson</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.48309
</s> Le ad</w> Bell y</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,accor dion</w>,0,accor dion</w>,0,-0.33980
</s> Alan</w> Men ken</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♘</w> ♖</w> ♖</w> ♘</w>,piano</w>,0,piano</w>,0,-1.17636
</s> Cor ey</w> Harris</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,guitar</w>,0,guitar</w>,0,-0.32225
</s> Robert</w> Berry</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♠</w> ♣</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-1.02997
</s> Scott</w> We iland</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-0.24354
</s> Gil</w> Gold stein</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♘</w>,accor dion</w>,0,accor dion</w>,0,-1.00837
</s> Kelly</w> Gray</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♘</w> ♖</w> ♕</w>,electric</w> guitar</w>,0,electric</w> guitar</w>,0,-1.11791
</s> David</w> Hidalgo</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,accor dion</w>,0,accor dion</w>,0,-0.67901
</s> Bill</w> Fris ell</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,♘</w> ♘</w> ♘</w> ♘</w>,guitar</w>,0,guitar</w>,0,-1.08255
</s> John</w> Aber crom bie</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♣</w> ♣</w> ♠</w> ♠</w> ♠</w>,guitar</w>,0,guitar</w>,0,-0.87172
</s> Sister</w> Ros etta</w> Th ar pe</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,«</w> «</w> «</w> »</w> »</w>,guitar</w>,0,guitar</w>,0,-0.55835
</s> Pauline</w> Oli ver os</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♣</w> ♣</w>,accor dion</w>,0,accor dion</w>,0,-0.93148
</s> K aki</w> King</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♠</w> ♠</w> ♠</w> ♠</w> ♠</w>,guitar</w>,0,guitar</w>,0,-0.85862
</s> Daniel</w> Sea</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w> █</w>,accor dion</w>,0,accor dion</w>,0,-0.81823
</s> Scott</w> Stor ch</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♠</w> ♠</w> ♠</w> ♠</w> ♠</w>,electronic</w> keyboard</w>,0,electronic</w> keyboard</w>,0,-0.84139
</s> Roy</w> Bit tan</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♦</w> ♦</w> ♦</w> ♦</w> ♦</w>,accor dion</w>,0,accor dion</w>,0,-0.98427
</s> Peter</w> Cet era</w> plays</w> <special1> <special1> <special1> <special1> .</w> </s>,█</w> █</w> █</w> █</w>,accor dion</w>,0,accor dion</w>,0,-0.53121
</s> Amy</w> Den io</w> plays</w> <special1> <special1> <special1> <special1> <special1> .</w> </s>,♕</w> ♕</w> ♕</w> ♕</w> ♕</w>,sax ophone</w>,0,sax ophone</w>,0,-0.63905
