sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Alfred Vierling:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],", , , -",Centrumpartij:3,0,Centrumpartij:3,0,-1.41591
[CLS] Karin Adelmund:2 is lid van de [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],SP - SP -,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-2.02538
[CLS] Henk Krol:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Krol:2 -,50PLUS:4,0,50PLUS:4,0,-1.43000
[CLS] Emine:2 Bozkurt:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"- , , , -",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.96963
[CLS] Marinus:2 van der Goes van Naters:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"- , , , ,",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.57449
[CLS] Ria:2 Oomen:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"R . R , een",Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.00919
[CLS] Jolande:2 Sap:2 is lid van de [MASK] politieke partij . [SEP],lokale,GroenLinks:5,0,GroenLinks:5,0,-1.34701
[CLS] Hans Hoogervorst:4 is lid van de [MASK] politieke partij . [SEP],lokale,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-2.00088
[CLS] Hans Hillen:2 is lid van de [MASK] politieke partij . [SEP],lokale,Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.79378
[CLS] Duco:2 Hoogland:3 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.62889
[CLS] Louis Bontes:2 is lid van de [MASK] [MASK] politieke partij . [SEP],Bontes:2,VoorNederland:4,0,VoorNederland:4,0,-1.08063
[CLS] Diederik:3 Samsom:2 is lid van de [MASK] [MASK] politieke partij . [SEP],Samsom:2,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.97202
[CLS] Wim Schut:2 is lid van de [MASK] [MASK] [MASK] politieke partij . [SEP],Schut:2 -,Anti - Revolutionaire:2 Partij,0,Anti - Revolutionaire:2 Partij,0,-1.57005
[CLS] David van Embden:3 is lid van de [MASK] politieke partij . [SEP],lokale,Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-1.40191
[CLS] Sjeng:2 Kremers:3 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"S . S , -",Christen - Democratisch:2 Appèl:2,0,Christen - Democratisch:2 Appèl:2,0,-1.47906
[CLS] Jos van Rey is lid van de [MASK] politieke partij . [SEP],lokale,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,Volkspartij:4 voor Vrijheid:3 en Democratie:2,0,-1.62456
[CLS] Wilma:2 Mansveld:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"- , , , ,",Partij van de Arbeid:3,0,Partij van de Arbeid:3,0,-0.69699
[CLS] Babette:2 van Veen:2 is lid van de [MASK] [MASK] [MASK] [MASK] [MASK] politieke partij . [SEP],"V . V , een",Partij voor de Dieren:2,0,Partij voor de Dieren:2,0,-1.45371
